site_id,hour,ratio_sh,n_sh,ratio_site_shrunk,ratio_hour_shrunk,calibrated_ratio
S041,8,1.142875507272873,62,1.1021045860571417,1.009798995725023,1.1117526666501774
S041,9,1.1666653321970715,62,1.1021045860571417,1.014345644796355,1.1173823198765145
S041,10,1.2799860572419297,62,1.1021045860571417,1.029636269839956,1.144198674658122
S041,11,1.2327941046744426,62,1.1021045860571417,1.0124218305045298,1.133031113363526
S041,12,1.180373955405294,62,1.1021045860571417,1.0025961503108956,1.120626345215865
S041,13,1.1469311282294714,62,1.1021045860571417,0.9859213079674419,1.112712393746777
S041,14,1.1473052157628554,62,1.1021045860571417,1.0122433827571713,1.1128009182775778
S041,15,1.0622420841336488,62,1.1021045860571417,1.0289453482398354,1.092671474914941
S041,16,1.0837858132489009,62,1.1021045860571417,1.0596856988837373,1.0977696092857259
S041,17,0.9049897529156652,62,1.1021045860571417,1.0224285078521531,1.0554590911916015
S041,18,0.5304761369169632,62,1.1021045860571417,0.9213453874536068,0.9668337316804583
S041,19,0.1799934028263136,22,1.1021045860571417,0.7,1.0107241985297624
S041,20,,0,1.1021045860571417,1.0166513550170326,
S041,21,,0,1.1021045860571417,1.0166513550170326,
S041,22,,0,1.1021045860571417,1.0166513550170326,
S041,23,,0,1.1021045860571417,1.0166513550170326,
S042,0,,0,1.1539221538153994,1.0166513550170326,
S042,1,,0,1.1539221538153994,1.0166513550170326,
S042,2,,0,1.1539221538153994,1.0166513550170326,
S042,3,,0,1.1539221538153994,1.0166513550170326,
S042,4,,0,1.1539221538153994,1.0166513550170326,
S042,5,,0,1.1539221538153994,1.0166513550170326,
S042,6,1.2535555878576972,62,1.1539221538153994,1.3,1.1774995313368593
S042,7,1.2049216473726363,62,1.1539221538153994,1.0636247309869762,1.1659907362602417
S042,8,1.174391519847547,62,1.1539221538153994,1.009798995725023,1.1587660495939993
S042,9,1.1756011181772958,62,1.1539221538153994,1.014345644796355,1.159052290420123
S042,10,1.2779930167136442,62,1.1539221538153994,1.029636269839956,1.183282434348572
S042,11,1.2064476364230676,62,1.1539221538153994,1.0124218305045298,1.1663518481729394
S042,12,1.1723672836237033,62,1.1539221538153994,1.0025961503108956,1.1582870318616394
S042,13,1.18069281547839,62,1.1539221538153994,0.9859213079674419,1.160257195888321
S042,14,1.2053918290169763,62,1.1539221538153994,1.0122433827571713,1.166102000618826
S042,15,1.164384170432706,62,1.1539221538153994,1.0289453482398354,1.1563978982057546
S042,16,1.241766471858386,62,1.1539221538153994,1.0596856988837373,1.174709740527862
S042,17,1.1522880360596786,62,1.1539221538153994,1.0224285078521531,1.1535354541938168
S042,18,0.7940724107751556,62,1.1539221538153994,0.9213453874536068,1.0687668711112197
S042,19,0.24410641663079113,21,1.1539221538153994,0.7,1.0674690747164095
S042,20,,0,1.1539221538153994,1.0166513550170326,
S042,21,,0,1.1539221538153994,1.0166513550170326,
S042,22,,0,1.1539221538153994,1.0166513550170326,
S042,23,,0,1.1539221538153994,1.0166513550170326,
S044,0,,0,0.7,1.0166513550170326,
S044,1,,0,0.7,1.0166513550170326,
S044,2,,0,0.7,1.0166513550170326,
S044,3,,0,0.7,1.0166513550170326,
S044,4,,0,0.7,1.0166513550170326,
S044,5,,0,0.7,1.0166513550170326,
S044,6,0.0,62,0.7,1.3,0.7
S044,7,0.0,62,0.7,1.0636247309869762,0.7
S044,8,0.0,62,0.7,1.009798995725023,0.7
S044,9,0.0,62,0.7,1.014345644796355,0.7
S044,10,0.0,62,0.7,1.029636269839956,0.7
S044,11,0.0,62,0.7,1.0124218305045298,0.7
S044,12,0.0,62,0.7,1.0025961503108956,0.7
S044,13,0.0,62,0.7,0.9859213079674419,0.7
S044,14,0.0,62,0.7,1.0122433827571713,0.7
S044,15,0.0,62,0.7,1.0289453482398354,0.7
S044,16,0.0,62,0.7,1.0596856988837373,0.7
S044,17,0.0,62,0.7,1.0224285078521531,0.7
S044,18,0.0,62,0.7,0.9213453874536068,0.7
S044,19,0.0,20,0.7,0.7,0.7
S044,20,,0,0.7,1.0166513550170326,
S044,21,,0,0.7,1.0166513550170326,
S044,22,,0,0.7,1.0166513550170326,
S044,23,,0,0.7,1.0166513550170326,
S045,0,,0,0.7,1.0166513550170326,
S045,1,,0,0.7,1.0166513550170326,
S045,2,,0,0.7,1.0166513550170326,
S045,3,,0,0.7,1.0166513550170326,
S045,4,,0,0.7,1.0166513550170326,
S045,5,,0,0.7,1.0166513550170326,
S045,6,0.3803422861848822,62,0.7,1.3,0.7
S045,7,0.3830405032621237,62,0.7,1.0636247309869762,0.7
S045,8,0.38271849971758753,62,0.7,1.009798995725023,0.7
S045,9,0.40578224101664706,62,0.7,1.014345644796355,0.7
S045,10,0.3559307007893053,62,0.7,1.029636269839956,0.7
S045,11,0.38543308726822945,62,0.7,1.0124218305045298,0.7
S045,12,0.37960891131160807,62,0.7,1.0025961503108956,0.7
S045,13,0.39351962727483636,62,0.7,0.9859213079674419,0.7
S045,14,0.37415814837668526,62,0.7,1.0122433827571713,0.7
S045,15,0.3494796498823434,62,0.7,1.0289453482398354,0.7
S045,16,0.37328875279134544,62,0.7,1.0596856988837373,0.7
S045,17,0.34075087494561523,62,0.7,1.0224285078521531,0.7
S045,18,0.24716222779964336,62,0.7,0.9213453874536068,0.7
S045,19,0.14860317345182233,16,0.7,0.7,0.7
S045,20,,0,0.7,1.0166513550170326,
S045,21,,0,0.7,1.0166513550170326,
S045,22,,0,0.7,1.0166513550170326,
S045,23,,0,0.7,1.0166513550170326,
S046,0,,0,1.0483701248350596,1.0166513550170326,
S046,1,,0,1.0483701248350596,1.0166513550170326,
S046,2,,0,1.0483701248350596,1.0166513550170326,
S046,3,,0,1.0483701248350596,1.0166513550170326,
S046,4,,0,1.0483701248350596,1.0166513550170326,
S046,5,,0,1.0483701248350596,1.0166513550170326,
S046,6,0.8734402631144776,62,1.0483701248350596,1.3,1.0069745087027082
S046,7,1.028503145038571,62,1.0483701248350596,1.0636247309869762,1.0436687784710053
S046,8,1.0489424876433955,62,1.0483701248350596,1.009798995725023,1.0485055694690935
S046,9,1.047500615699551,62,1.0483701248350596,1.014345644796355,1.048164363131237
S046,10,1.0051405124567954,62,1.0483701248350596,1.029636269839956,1.0381402165623408
S046,11,1.1062315651153423,62,1.0483701248350596,1.0124218305045298,1.0620625267334471
S046,12,1.078447101589651,62,1.0483701248350596,1.0025961503108956,1.055487577349505
S046,13,1.0832419145706704,62,1.0483701248350596,0.9859213079674419,1.0566222277495936
S046,14,1.1055668433996224,62,1.0483701248350596,1.0122433827571713,1.0619052261747655
S046,15,1.0979954792352509,62,1.0483701248350596,1.0289453482398354,1.0601135293114408
S046,16,1.1278398463266912,62,1.0483701248350596,1.0596856988837373,1.0671759367910947
S046,17,0.9475273796465903,62,1.0483701248350596,1.0224285078521531,1.0245065744469486
S046,18,0.6682810839954917,62,1.0483701248350596,0.9213453874536068,0.9584253899798948
S046,19,0.21078595860252483,23,1.0483701248350596,0.7,0.9619825202460539
S046,20,,0,1.0483701248350596,1.0166513550170326,
S046,21,,0,1.0483701248350596,1.0166513550170326,
S046,22,,0,1.0483701248350596,1.0166513550170326,
S046,23,,0,1.0483701248350596,1.0166513550170326,
S047,0,,0,0.8477438559740096,1.0166513550170326,
S047,1,,0,0.8477438559740096,1.0166513550170326,
S047,2,,0,0.8477438559740096,1.0166513550170326,
S047,3,,0,0.8477438559740096,1.0166513550170326,
S047,4,,0,0.8477438559740096,1.0166513550170326,
S047,5,,0,0.8477438559740096,1.0166513550170326,
S047,6,0.6977388976329288,62,0.8477438559740096,1.3,0.8122464994200134
S047,7,0.9002485756594599,62,0.8477438559740096,1.0636247309869762,0.8601686369682765
S047,8,0.9083237019278011,62,0.8477438559740096,1.009798995725023,0.8620795447111664
S047,9,0.856318508051824,62,0.8477438559740096,1.014345644796355,0.849772972114561
S047,10,0.8576573737039047,62,0.8477438559740096,1.029636269839956,0.8500898029177253
S047,11,0.7357276180776653,62,0.8477438559740096,1.0124218305045298,0.821236196624493
S047,12,0.7040622182337603,62,0.8477438559740096,1.0025961503108956,0.8137428577301338
S047,13,0.7416374240477301,62,0.8477438559740096,0.9859213079674419,0.8226347003273328
S047,14,0.8076611080782021,62,0.8477438559740096,1.0122433827571713,0.8382586255559178
S047,15,0.872864603121163,62,0.8477438559740096,1.0289453482398354,0.8536884602607406
S047,16,0.9223732956914805,62,0.8477438559740096,1.0596856988837373,0.8654042577392127
S047,17,0.8662355290442175,62,0.8477438559740096,1.0224285078521531,0.8521197480745932
S047,18,0.6496789599269366,62,0.8477438559740096,0.9213453874536068,0.8008735370621068
S047,19,0.2416172769374008,19,0.8477438559740096,0.7,0.795157531765354
S047,20,,0,0.8477438559740096,1.0166513550170326,
S047,21,,0,0.8477438559740096,1.0166513550170326,
S047,22,,0,0.8477438559740096,1.0166513550170326,
S047,23,,0,0.8477438559740096,1.0166513550170326,
S048,0,,0,0.9933689844459612,1.0166513550170326,
S048,1,,0,0.9933689844459612,1.0166513550170326,
S048,2,,0,0.9933689844459612,1.0166513550170326,
S048,3,,0,0.9933689844459612,1.0166513550170326,
S048,4,,0,0.9933689844459612,1.0166513550170326,
S048,5,,0,0.9933689844459612,1.0166513550170326,
S048,6,1.3723827897613647,62,0.9933689844459612,1.3,1.0830592742534233
S048,7,1.0104528488450606,62,0.9933689844459612,1.0636247309869762,0.9974117309831527
S048,8,0.9573242073183134,62,0.9933689844459612,1.009798995725023,0.9848393043623195
S048,9,0.9605767555892142,62,0.9933689844459612,1.014345644796355,0.9856089913577235
S048,10,0.9505980438908787,62,0.9933689844459612,1.029636269839956,0.9832476168336899
S048,11,0.9894806162600648,62,0.9933689844459612,1.0124218305045298,0.9924488362492988
S048,12,1.000625527991109,62,0.9933689844459612,1.0025961503108956,0.995086181773439
S048,13,0.8756913937912123,62,0.9933689844459612,0.9859213079674419,0.9655216156650666
S048,14,1.0504870772826034,62,0.9933689844459612,1.0122433827571713,1.0068854796973805
S048,15,1.1485785634050805,62,0.9933689844459612,1.0289453482398354,1.0300979687797986
S048,16,1.13152243202089,62,0.9933689844459612,1.0596856988837373,1.0260617850171276
S048,17,0.8867521088502301,62,0.9933689844459612,1.0224285078521531,0.9681390367859029
S048,18,0.7294770803644882,62,0.9933689844459612,0.9213453874536068,0.930921281953399
S048,19,0.035031793310706945,21,0.9933689844459612,0.7,0.9023052694512085
S048,20,,0,0.9933689844459612,1.0166513550170326,
S048,21,,0,0.9933689844459612,1.0166513550170326,
S048,22,,0,0.9933689844459612,1.0166513550170326,
S048,23,,0,0.9933689844459612,1.0166513550170326,
S049,0,,0,0.9890034564826699,1.0166513550170326,
S049,1,,0,0.9890034564826699,1.0166513550170326,
S049,2,,0,0.9890034564826699,1.0166513550170326,
S049,3,,0,0.9890034564826699,1.0166513550170326,
S049,4,,0,0.9890034564826699,1.0166513550170326,
S049,5,,0,0.9890034564826699,1.0166513550170326,
S049,6,1.9517873621226558,62,0.9890034564826699,1.3,1.2168378158325903
S049,7,1.1874928618780511,62,0.9890034564826699,1.0636247309869762,1.0359742318052412
S049,8,1.005754423809516,62,0.9890034564826699,1.009798995725023,0.9929674258500916
S049,9,0.9975203705888201,62,0.9890034564826699,1.014345644796355,0.9910189094390871
S049,10,1.0038630954106373,62,0.9890034564826699,1.029636269839956,0.9925198595877615
