candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=0.75_w2=1.0_w3=0.5,0.75,1.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.5,0.75,1.0,0.5,window_late,5.3314,0.0794,3,False
blend_w1=0.75_w2=1.0_w3=0.75,0.75,1.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.75,0.75,1.0,0.75,window_late,5.3191,0.067,3,False
blend_w1=0.75_w2=1.0_w3=1.0,0.75,1.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=1.0_w3=1.0,0.75,1.0,1.0,window_late,5.3097,0.0576,3,False
blend_w1=1.0_w2=0.0_w3=0.0,1.0,0.0,0.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.0,1.0,0.0,0.0,window_late,5.4882,0.2362,8,False
blend_w1=1.0_w2=0.0_w3=0.25,1.0,0.0,0.25,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.25,1.0,0.0,0.25,window_late,5.4194,0.1674,4,False
blend_w1=1.0_w2=0.0_w3=0.5,1.0,0.0,0.5,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.5,1.0,0.0,0.5,window_late,5.3794,0.1274,4,False
blend_w1=1.0_w2=0.0_w3=0.75,1.0,0.0,0.75,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.75,1.0,0.0,0.75,window_late,5.3537,0.1017,4,False
blend_w1=1.0_w2=0.0_w3=1.0,1.0,0.0,1.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.0_w3=1.0,1.0,0.0,1.0,window_late,5.3361,0.0841,4,False
blend_w1=1.0_w2=0.25_w3=0.0,1.0,0.25,0.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.0,1.0,0.25,0.0,window_late,5.4416,0.1895,3,False
blend_w1=1.0_w2=0.25_w3=0.25,1.0,0.25,0.25,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.25,1.0,0.25,0.25,window_late,5.3946,0.1426,3,False
blend_w1=1.0_w2=0.25_w3=0.5,1.0,0.25,0.5,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.5,1.0,0.25,0.5,window_late,5.3648,0.1128,3,False
blend_w1=1.0_w2=0.25_w3=0.75,1.0,0.25,0.75,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.75,1.0,0.25,0.75,window_late,5.3445,0.0924,3,False
blend_w1=1.0_w2=0.25_w3=1.0,1.0,0.25,1.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.25_w3=1.0,1.0,0.25,1.0,window_late,5.3299,0.0779,3,False
blend_w1=1.0_w2=0.5_w3=0.0,1.0,0.5,0.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.0,1.0,0.5,0.0,window_late,5.4141,0.162,3,False
blend_w1=1.0_w2=0.5_w3=0.25,1.0,0.5,0.25,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.25,1.0,0.5,0.25,window_late,5.379,0.1269,3,False
blend_w1=1.0_w2=0.5_w3=0.5,1.0,0.5,0.5,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.5,1.0,0.5,0.5,window_late,5.3552,0.1032,3,False
blend_w1=1.0_w2=0.5_w3=0.75,1.0,0.5,0.75,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.75,1.0,0.5,0.75,window_late,5.3383,0.0863,3,False
blend_w1=1.0_w2=0.5_w3=1.0,1.0,0.5,1.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.5_w3=1.0,1.0,0.5,1.0,window_late,5.3257,0.0737,3,False
blend_w1=1.0_w2=0.75_w3=0.0,1.0,0.75,0.0,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.0,1.0,0.75,0.0,window_late,5.3962,0.1442,3,False
blend_w1=1.0_w2=0.75_w3=0.25,1.0,0.75,0.25,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.25,1.0,0.75,0.25,window_late,5.3683,0.1163,3,False
blend_w1=1.0_w2=0.75_w3=0.5,1.0,0.75,0.5,window_early,17.072,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.5,1.0,0.75,0.5,window_late,5.3486,0.0965,3,False
blend_w1=1.0_w2=0.75_w3=0.75,1.0,0.75,0.75,window_early,17.072,0.0,0,True
