site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S018,12,future,83,0.7063178525312519,19.051345224902413
S018,12,test,122,1.1074367479716505,12.435787309674193
S018,12,train,482,0.9523437443153279,13.359516794727282
S018,12,valid,61,1.1067409423241987,16.91234071254065
S018,13,future,84,0.6726269212458778,19.48531001231378
S018,13,test,121,1.110670026568633,12.548886498020506
S018,13,train,482,0.9926572591752418,13.325559977154935
S018,13,valid,61,1.0642119030648267,20.755684893099353
S018,14,future,84,0.6911231712904086,16.570148594393533
S018,14,test,122,1.1592646617288707,10.958093764217885
S018,14,train,481,0.984618053001434,12.62880094830139
S018,14,valid,60,1.0798593971992403,18.628612861063324
S019,10,future,90,0.7842019733896937,25.136102788376537
S019,10,test,121,0.8226400912485763,24.780138185091637
S019,10,train,878,1.0405484037038286,14.707127559811617
S019,10,valid,56,0.886368006228913,25.654801037243075
S019,11,future,90,0.6127493251566093,33.257689595913945
S019,11,test,122,0.8178152748000295,22.99618804711894
S019,11,train,882,1.0216764347662097,16.011891579377668
S019,11,valid,56,0.9144891330328953,27.287345838163617
S019,12,future,90,0.5942154486050124,35.95483523558143
S019,12,test,122,0.8555561832896635,21.98331731360323
S019,12,train,885,1.0237591708956288,16.55328146999716
S019,12,valid,56,0.9163911035930595,26.307359528762415
S019,13,future,90,0.6014814257422489,34.478381649589494
S019,13,test,122,0.8519044715736704,22.564248774738072
S019,13,train,889,1.0145923095027114,14.894203972719453
S019,13,valid,56,0.9289047890037899,23.4498561769306
S019,14,future,90,0.650368808539449,26.92823669488142
S019,14,test,122,0.8513000477873449,24.154360942001425
S019,14,train,893,1.0389428865967751,14.173566405770508
S019,14,valid,56,0.9323983894154687,25.403001446426654
S020,10,future,90,1.8325925533675422,28.125638977506256
S020,10,test,119,1.155978485029443,11.937890821200114
S020,10,train,183,1.0379378915746398,11.887748217007257
S020,10,valid,62,0.9134571940010197,16.042461829133355
S020,11,future,90,1.593070534889033,26.683401982286636
S020,11,test,119,1.1298634548035962,14.326299281602708
S020,11,train,183,1.062718684102166,11.410913996862702
S020,11,valid,62,0.9200151663240986,17.630163324187897
S020,12,future,90,1.6052052334283164,29.504578103232642
S020,12,test,119,1.1307106175734545,12.994204049177622
S020,12,train,183,1.0655123400633268,13.129432365219303
S020,12,valid,62,0.9008890524919212,15.855718521737167
S020,13,future,90,1.5227739246026928,25.91952440886849
S020,13,test,119,1.1453828462583182,14.303194166273405
S020,13,train,183,1.0607581493061158,14.189594169878497
S020,13,valid,62,0.9072648382234217,17.8769222905505
S020,14,future,90,1.514787105515402,21.941969831617016
S020,14,test,120,1.1370395568987146,12.47955382587378
S020,14,train,183,1.083766377832883,13.177905977805192
S020,14,valid,62,0.89916576229187,17.532586388379283
S021,10,future,85,1.2277945510975201,18.037278204334328
S021,10,test,119,0.9518407900924075,14.271436844179524
S021,10,train,68,1.011762575200081,13.363871248921388
S021,10,valid,61,0.8442435155409828,19.36549907610194
S021,11,future,83,1.0326856394269293,17.029581124708454
S021,11,test,119,0.9519695851224743,17.10944291952789
S021,11,train,68,1.0096261285167678,14.40838797029551
S021,11,valid,61,0.849450344555717,21.017244383593763
S021,12,future,83,0.9968940354063095,20.017143854744987
S021,12,test,119,0.9513675215939507,15.275901960398643
S021,12,train,68,1.019103708927049,15.225066160105309
S021,12,valid,62,0.8393692199931044,20.76105921553893
S021,13,future,83,0.9628254917454335,18.937623474548428
S021,13,test,119,1.0030341061883863,16.37486945350643
S021,13,train,68,0.9950073831443168,14.077588760828771
S021,13,valid,62,0.838831667426405,22.198301742959405
S021,14,future,84,0.9873902226820327,17.582955739513125
S021,14,test,119,1.0097509848560366,13.93671161333366
S021,14,train,68,1.0154408492853735,14.732395671893558
S021,14,valid,62,0.8368615993550685,20.464933406576485
S022,10,future,90,0.3841463337677896,27.99990376530867
S022,10,test,122,0.7138403992809971,15.654116540563537
S022,10,train,858,1.1626392284449678,11.419788875990058
S022,10,valid,62,0.6708749866461866,23.253526213363966
S022,11,future,90,0.33378602849117994,36.37390635765818
S022,11,test,122,0.704829365758879,17.873425438420277
S022,11,train,856,1.1785887312993752,13.101738816869712
S022,11,valid,62,0.6523007497052737,25.817314992077662
S022,12,future,90,0.3084018352149388,40.573100902596096
S022,12,test,122,0.7094174227795439,19.46912094752244
S022,12,train,860,1.1765216856679617,13.305650778467188
S022,12,valid,62,0.6739423840417132,25.449608185387333
S022,13,future,90,0.27539432409620085,40.06479679621234
S022,13,test,122,0.7123324478427667,17.292118599674456
S022,13,train,861,1.1822886452081236,13.029818263168519
S022,13,valid,62,0.6710706777990375,27.923911087111208
S022,14,future,90,0.2876055963264609,33.95233018283443
S022,14,test,122,0.733765153111636,14.638713879773391
S022,14,train,861,1.209335434660567,12.520826123981035
S022,14,valid,62,0.6970168585023995,24.513695609373595
S023,10,future,87,0.6839776561777462,12.493042832749847
S023,10,test,122,1.025105823253528,8.13314084340404
S023,10,train,912,0.9850665192068958,8.46098470741674
S023,10,valid,62,1.0319130338622429,12.795722826629003
S023,11,future,87,0.6535451926039746,15.062127983800572
S023,11,test,122,0.9922872925537801,8.51076353548597
S023,11,train,911,0.9863984120124657,9.08241979519091
S023,11,valid,62,1.0289595395562272,13.287094985880602
S023,12,future,87,0.6336717832056998,16.710918393544514
S023,12,test,122,1.030105403300179,9.38262672256522
S023,12,train,910,1.0147688626577245,9.6566966552542
S023,12,valid,62,0.972178595207475,12.078786162232024
S023,13,future,87,0.569004759831702,16.944711609493336
S023,13,test,121,1.0267000178078822,8.890820788125362
S023,13,train,910,1.001953614638355,9.857801070990108
S023,13,valid,62,0.9916101465494953,13.656655489856693
S023,14,future,87,0.5620091996718728,14.844429733261629
S023,14,test,122,1.0360808836816409,8.375666954599554
S023,14,train,910,1.0070559016935463,8.674179436831718
S023,14,valid,61,0.9897484081141991,12.730770969953625
S024,10,future,73,0.8479966454956979,11.19831903282185
S024,10,test,121,0.9129792329146166,10.576974312513467
S024,10,train,626,0.961939651840618,11.36050243675812
S024,10,valid,62,0.9963030061037952,13.225138870762812
S024,11,future,73,0.7203178419673099,14.639410476065112
S024,11,test,120,0.893999942241395,11.357881948843884
S024,11,train,628,0.9479378412400721,11.888434608375546
S024,11,valid,62,1.0007864078245186,17.32694808034404
S024,12,future,74,0.7039920076470313,16.43485746690386
S024,12,test,120,0.9211509144937732,12.762904542199784
S024,12,train,628,0.9444947371431643,11.691372267304207
S024,12,valid,62,0.9989668801601126,14.191192772355635
S024,13,future,74,0.673204052082158,16.718585877680145
