candidate,w1,w2,w3,window,city_nrmse,site_nrmse,delta,bad_sites,passes
blend_w1=1.0_w2=0.5_w3=0.25,1.0,0.5,0.25,window_late,5.158,13.9827,-0.094,0,True
blend_w1=1.0_w2=0.5_w3=0.5,1.0,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.5,1.0,0.5,0.5,window_late,5.1655,14.0032,-0.0865,0,True
blend_w1=1.0_w2=0.5_w3=0.75,1.0,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.75,1.0,0.5,0.75,window_late,5.1722,14.0205,-0.0799,0,True
blend_w1=1.0_w2=0.5_w3=1.0,1.0,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.5_w3=1.0,1.0,0.5,1.0,window_late,5.1781,14.0351,-0.074,0,True
blend_w1=1.0_w2=0.75_w3=0.0,1.0,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.0,1.0,0.75,0.0,window_late,5.1547,13.9718,-0.0973,0,True
blend_w1=1.0_w2=0.75_w3=0.25,1.0,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.25,1.0,0.75,0.25,window_late,5.1618,13.9925,-0.0903,0,True
blend_w1=1.0_w2=0.75_w3=0.5,1.0,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.5,1.0,0.75,0.5,window_late,5.1682,14.0101,-0.0838,0,True
blend_w1=1.0_w2=0.75_w3=0.75,1.0,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.75_w3=0.75,1.0,0.75,0.75,window_late,5.1741,14.0252,-0.078,0,True
blend_w1=1.0_w2=0.75_w3=1.0,1.0,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.75_w3=1.0,1.0,0.75,1.0,window_late,5.1793,14.0381,-0.0727,0,True
blend_w1=1.0_w2=1.0_w3=0.0,1.0,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.0,1.0,1.0,0.0,window_late,5.159,13.983,-0.093,0,True
blend_w1=1.0_w2=1.0_w3=0.25,1.0,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.25,1.0,1.0,0.25,window_late,5.1651,14.0008,-0.0869,0,True
blend_w1=1.0_w2=1.0_w3=0.5,1.0,1.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=1.0_w3=0.5,1.0,1.0,0.5,window_late,5.1708,14.0161,-0.0813,0,True
blend_w1=1.0_w2=1.0_w3=0.75,1.0,1.0,0.75,window_early,17.072,,0.0,0,True
