site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
旭樱新田光伏电站,旭樱新田光伏,分布式,地调,2.63,2.63,119.101394,34.602257,海州区,屋顶,2025-03-13,运行,无,固定式,单晶硅,全额上网,dist_ledger,旭樱新田光伏,rooftop,0,small,0,S075,1,,,,119.101394,34.602257
太阳光东海光伏电站,太阳光东海光伏,分布式,地调,5.0,5.0,118.728239,34.509871,东海县,屋顶,2025-04-28,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,太阳光东海光伏,rooftop,0,medium,0,S076,1,,,,118.728239,34.509871
富云图河光伏电站,富云图河光伏,分布式,地调,0.901,0.901,119.55,34.33,灌云县,地面,2017-09-01,运行,连云港富云新能源有限公司,水平单轴,多晶硅,全额上网,dist_ledger,富云图河光伏,ground,0,small,0,S077,1,,,,119.55,34.33
福惠泉南岗光伏发电站（二期）,福惠泉南岗光伏（二期）,集中式,地调,5.0,5.0,119.1175,34.29444,灌云县,地面,2016-02-08,运行,朗禾集团,固定式,多晶硅,集中式,central_local,福惠泉南岗光伏二期,ground,0,medium,0,S078,1,,,,119.1175,34.29444
欧翔宋庄光伏发电站,欧翔宋庄光伏电站,集中式,地调,22.2,22.2,119.112028,34.795707,赣榆区,地面,2016-10-23,运行,无,固定式,多晶硅,集中式,central_local,欧翔宋庄,ground,1,large,0,S079,1,,,,119.112028,34.795707
二龙山光伏发电站,二龙山光伏,集中式,地调,15.0,15.0,119.05444,34.96667,赣榆区,地面,2014-05-30,运行,晶科电力,固定式,多晶硅,集中式,central_local,二龙山光伏,ground,1,medium,0,S080,1,,,,119.05444,34.96667
和安墩尚光伏发电站,和安墩尚光伏,集中式,地调,10.0,10.0,119.1425,34.80444,赣榆区,地面,2018-06-29,运行,连云港和安机电设备制造有限公司,固定式,多晶硅,集中式,central_local,和安墩尚光伏,ground,1,medium,0,S081,1,,,,119.1425,34.80444
华电赣榆光伏发电站,华电赣榆光伏,集中式,地调,40.0,40.0,119.16667,34.73333,赣榆区,鱼塘,2015-06-04,运行,中国华电集团公司,固定式,多晶硅,集中式,central_local,华电赣榆光伏,other,1,large,0,S082,1,,,,119.16667,34.73333
宏耀新安光伏发电站,宏耀新安光伏,集中式,地调,17.0,17.0,119.29111,34.08222,灌南县,地面,2015-12-23,运行,灌南宏耀环保能源有限公司,固定式,多晶硅,集中式,central_local,宏耀新安光伏,ground,0,medium,0,S083,1,,,,119.29111,34.08222
云港板桥光伏电站,云港板桥光伏,集中式,地调,8.0,8.0,119.445,34.63194,连云区,地面,2018-06-29,运行,中核云港新能源（连云港）有限公司,固定式,多晶硅,集中式,central_local,云港板桥光伏,ground,1,medium,0,S084,1,,,,119.445,34.63194
