site_id,hour,month,residual_norm_median,n_train,level,capacity_bucket
S018,14,9.0,0.03316209882099076,30,site_hour_month,
S018,14,10.0,-0.0008730847437900394,31,site_hour_month,
S018,14,11.0,-0.007047122900578237,30,site_hour_month,
S018,14,12.0,0.00014940693514528265,31,site_hour_month,
S019,10,1.0,0.030045133835701805,82,site_hour_month,
S019,10,2.0,0.0015439637765635728,83,site_hour_month,
S019,10,3.0,-0.008416066120591795,91,site_hour_month,
S019,10,4.0,0.00142852124160886,90,site_hour_month,
S019,10,5.0,-0.012627530386142727,92,site_hour_month,
S019,10,6.0,-0.0120594316190988,88,site_hour_month,
S019,10,7.0,0.0032187517017365033,61,site_hour_month,
S019,10,8.0,0.005195334962134461,60,site_hour_month,
S019,10,9.0,0.04417665212966929,51,site_hour_month,
S019,10,10.0,-0.01892063108499405,62,site_hour_month,
S019,10,11.0,0.0017122621240594168,60,site_hour_month,
