site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_rows,train_valid_positive_rows,train_valid_zero_ratio_pct,train_valid_low_output_ratio_pct,train_valid_capacity_factor_mean,train_valid_capacity_factor_p95,test_rows,test_positive_rows,test_zero_ratio_pct,test_low_output_ratio_pct,test_capacity_factor_mean,test_capacity_factor_p95,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_actual_sum_mwh,test_pred_sum_mwh,capacity_factor_shift_mean,capacity_factor_shift_p95,diagnosis_group
S028,华能星耀光伏,3.14,10479,4742,54.7476,4407,3504,20.4901,4.2659,0.282774,0.780255,1708,1238,27.5176,5.8548,0.185972,0.56051,0.222527,0.372302,11.856759,-5.928346,0.940717,41.6276,34.8946,997.39,938.261266,-0.09680200000000003,-0.21974500000000008,other
S030,中森侍庄光伏,2.9,26304,12833,51.2127,13636,11580,15.0777,9.2989,0.259999,0.710345,1708,1253,26.6393,9.0749,0.186661,0.603448,0.159347,0.258739,8.92202,12.051287,1.120513,51.5808,25.1171,924.57,1035.992586,-0.07333799999999999,-0.10689700000000002,other
S031,富云杨集光伏,0.9222,26304,11724,55.4288,13636,10590,22.3379,4.1361,0.206105,0.574713,1708,1134,33.6066,5.0351,0.117591,0.379527,0.032068,0.05555,6.023675,7.881906,1.078819,51.9906,24.8244,185.22,199.818867,-0.08851400000000001,-0.19518600000000003,other
S032,华能中林光伏,9.335,18000,8013,55.4833,8792,6750,23.2257,13.0914,0.126179,0.435994,1708,1263,26.0539,9.9532,0.16613,0.529888,0.888311,1.393058,14.922953,-50.38803,0.49612,18.1499,58.2553,2648.81,1314.126824,0.039950999999999987,0.09389400000000003,other
S033,天瀚万发光伏,5.688,7065,3545,49.8231,2413,2267,6.0506,7.4596,0.371939,0.849859,1708,1278,25.1756,9.7775,0.176701,0.560214,0.324,0.522323,9.18289,9.115083,1.091151,49.5316,27.459,1716.67,1873.145898,-0.19523800000000002,-0.28964500000000004,low_sample_good
S034,建魄俊达光伏,3.496,5343,2332,56.3541,1411,1261,10.6308,3.8979,0.331339,0.795195,1708,1071,37.2951,4.0398,0.15304,0.517735,0.21325,0.369528,10.570025,19.827078,1.198271,55.6206,20.9016,913.83,1095.015787,-0.17829899999999999,-0.27746000000000004,other
S035,国能品品鲜光伏,5.296,19848,9044,54.4337,9870,7759,21.388,9.2199,0.237344,0.721299,1708,1285,24.7658,10.0117,0.149992,0.47517,0.261822,0.436961,8.250774,2.178966,1.02179,38.8173,38.3489,1356.76,1386.323341,-0.08735200000000001,-0.24612900000000004,other
S037,华能中林三期光伏,5.946,5936,762,87.1631,1754,3,99.829,0.0,0.000473,0.0,1708,759,55.5621,3.63,0.112857,0.489405,0.50206,0.877921,14.7649,50.884804,1.508848,52.3419,22.7752,1146.15,1729.366186,0.112384,0.489405,other
S038,衡诚天晴光伏,1.672,5894,2735,53.5969,1732,1512,12.7021,5.6582,0.361849,0.887859,1708,1223,28.3958,7.2014,0.184353,0.616029,0.101415,0.165493,9.89788,8.764585,1.087646,49.5316,27.0492,526.47,572.61291,-0.177496,-0.2718299999999999,low_sample_good
S039,沐恒腾东光伏,3.45,5889,2913,50.5349,1727,1647,4.6323,9.0909,0.270456,0.675362,1708,1266,25.8782,10.0117,0.110501,0.396087,0.234917,0.413831,11.995089,53.499618,1.534996,63.9344,12.6464,651.14,999.497414,-0.15995499999999996,-0.279275,other
