site_id,site_name,county,install_group,capacity_bucket,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_rows_6_19,tv_positive_rows_6_19,tv_zero_ratio_pct,tv_cf_mean,tv_cf_p95,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S051,鲲鹏德宇光伏,灌云县,rooftop,medium,5.025,5894.0,2906.0,50.6956226671191,1732.0,1640.0,5.311778290993072,0.24074086840623668,0.5671641791044776,1708.0,1266.0,25.878220140515225,1001.1199999999999,1425.5871349067027,0.11664394654362846,0.38139303482587034,-0.12409692186260822,-0.18577114427860725,1.4239922635715028,11.687106246853224,测试期分布漂移,是,cf_mean漂移0.124>=0.1或cf_p95漂移0.186>=0.2
S052,鹰游新立成二期光伏,灌云县,rooftop,medium,6.08,11976.0,5658.0,52.75551102204409,5278.0,4342.0,17.733990147783253,0.17884472038850444,0.6022203947368415,1708.0,1290.0,24.473067915690866,1845.98,1081.5964421301412,0.17776061567854062,0.5542763157894737,-0.0010841047099638124,-0.04794407894736785,0.5859199136123583,12.954104812623177,系统性偏差,是,"pred/actual=0.586超出[0.8,1.2]"
S053,鹰游新立成光伏电站,灌云县,rooftop,medium,13.33,26304.0,13951.0,46.96243917274939,13636.0,12289.0,9.878263420357875,0.2565793252361198,0.5116279069767442,1708.0,1662.0,2.693208430913349,9207.480000000003,5366.153335634046,0.4044108216749738,0.4156039009752438,0.14783149643885396,-0.0960240060015004,0.5828036917412847,23.723809802289754,测试期分布漂移,是,cf_mean漂移0.148>=0.1或cf_p95漂移0.096>=0.2
S054,鸿天伍江光伏,连云区,rooftop,medium,11.272,8408.0,3759.0,55.29257849666984,3196.0,2512.0,21.401752190237797,0.2032698564831305,0.575762952448545,1708.0,1247.0,26.990632318501174,2790.9700000000003,3412.992218229837,0.14496605545148866,0.4698811213626684,-0.058303801031641844,-0.10588183108587662,1.2228695465124442,8.039750707301023,系统性偏差,是,"pred/actual=1.223超出[0.8,1.2]"
S055,沐恒曲阳光伏,东海县,rooftop,small,4.0,5889.0,2020.0,65.69876040074716,1727.0,517.0,70.06369426751591,0.08078749276201505,0.485,1708.0,1503.0,12.002341920374707,584.8100000000002,1155.814161545988,0.08559865339578457,0.2775,0.004811160633769518,-0.20749999999999996,1.9763926087891586,17.72528491990194,测试期分布漂移,是,cf_mean漂移0.005>=0.1或cf_p95漂移0.207>=0.2
S056,昱中科技光伏,连云区,rooftop,small,3.15,6033.0,2779.0,53.93668158461793,1811.0,1631.0,9.939260077305356,0.2541575732078217,0.5650793650793651,1708.0,1148.0,32.78688524590164,740.2,932.452456060508,0.13757852867923126,0.45603174603174557,-0.11657904452859041,-0.1090476190476195,1.2597304188874736,7.684774270573945,测试期分布漂移,是,cf_mean漂移0.117>=0.1或cf_p95漂移0.109>=0.2
S057,欧翔神舟光伏电站,赣榆区,rooftop,small,2.358,,,,,,,,,,,,,,,,,,,,正常评价,否,
S058,远途大浦光伏电站,连云区,rooftop,medium,5.99,26304.0,13515.0,48.61998175182482,13636.0,12219.0,10.391610442945145,0.1979166411605144,0.6477462437395659,1708.0,1296.0,24.121779859484775,1616.6499999999999,1302.90670004386,0.15801609239442785,0.5041736227045075,-0.03990054876608656,-0.1435726210350584,0.805929978686704,9.71645608959156,正常评价,否,
S059,首耀清墩光伏,海州区,rooftop,small,2.0,26304.0,12838.0,51.19373479318735,13636.0,11131.0,18.370489879730126,0.21520350542681138,0.58,1708.0,1677.0,1.8149882903981265,694.3600000000001,472.11943686605105,0.20326697892271667,0.205,-0.011936526504094713,-0.375,0.6799346691428811,14.171381958974669,测试期分布漂移,是,cf_mean漂移0.012>=0.1或cf_p95漂移0.375>=0.2
S060,华电蒙然源光伏,赣榆区,rooftop,medium,5.84,6144.0,3029.0,50.699869791666664,1876.0,1778.0,5.223880597014925,0.3388412025002191,0.8107876712328768,1708.0,1251.0,26.756440281030446,1521.71,2033.4972291807287,0.15255666324468256,0.5011130136986299,-0.18628453925553654,-0.30967465753424683,1.336323760230746,11.664051181046041,测试期分布漂移,是,cf_mean漂移0.186>=0.1或cf_p95漂移0.310>=0.2
