site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S072,13,0.45827368932890894,0.8828979859179499,0.8970344564638245,1.1170240135505842,89.0,122.0,621.0,62.0,47.58037261168391,18.862496022484475,19.386169913802824,20.717191589876336,unstable_or_mild,0.2199895570867597,False
S074,11,0.9913977851854702,1.1646082371064483,1.078590555257011,0.8967818093964304,87.0,122.0,176.0,62.0,17.745632139897385,13.88171531090972,12.974074948054223,20.703433251648608,unstable_or_mild,0.1818087458605806,False
S046,13,1.4229227341252442,1.169063314372708,1.0713019529410077,0.8764900061380304,87.0,122.0,193.0,56.0,25.937792743243065,18.592040896581686,14.736691771628546,20.59365938146476,unstable_or_mild,0.1948119468029773,False
S009,14,1.9225191389881833,1.1997475794764059,1.2234380977667572,0.8478058055494684,88.0,122.0,253.0,62.0,28.489204445307344,14.49626222677381,14.205427736469488,20.579348008271857,unstable_or_mild,0.3756322922172888,False
S040,12,1.3531968154872287,1.0674850783992442,0.9333529731734894,0.9288946115723882,85.0,122.0,67.0,62.0,22.09174492645506,14.395139007700442,17.42148154934449,20.57126232410225,unstable_or_mild,0.004458361601101246,False
S007,12,0.5684630321417791,1.071054181675181,1.041564612245298,0.9650878760597478,89.0,122.0,911.0,62.0,37.172833847165634,13.539435732007247,14.93352033014369,20.51559141728608,unstable_or_mild,0.07647673618555018,False
S060,14,1.8935998483059981,1.4552830499811777,1.075947297640503,0.9077477313900741,86.0,122.0,71.0,61.0,26.340099873482757,16.747240999261642,16.167166264618306,20.51174924047848,unstable_or_mild,0.16819956625042876,False
S065,14,0.6993014564545686,1.045946719740816,1.0364822282551518,1.0024334162151083,87.0,122.0,897.0,61.0,25.342750094684213,13.660846513910519,14.905470744813561,20.489193066056092,unstable_or_mild,0.03404881204004351,False
S021,14,0.9873902226820327,1.0097509848560366,1.0154408492853735,0.8368615993550685,84.0,119.0,68.0,62.0,17.582955739513125,13.93671161333366,14.732395671893558,20.464933406576485,unstable_or_mild,0.17857924993030494,False
S039,14,1.0960197017091133,1.5859524889237853,0.9876372845329864,1.1162129806104217,81.0,122.0,61.0,61.0,13.43391928929224,16.540294745347115,12.333264821923839,20.446110685314466,unstable_or_mild,0.12857569607743535,False
S034,14,1.0313968363277597,1.2218309456936571,1.0556804186342037,0.9101726322842171,79.0,111.0,38.0,61.0,16.561634409228592,12.76542085978702,19.200809114365725,20.292631656812304,unstable_or_mild,0.14550778634998662,False
S065,13,0.6607713663195952,1.0611661870778257,1.023720753678513,0.980791098467021,87.0,122.0,897.0,61.0,31.073757018507198,14.675110679225266,15.337015297076602,20.289578213674808,unstable_or_mild,0.042929655211491946,False
S035,14,0.5657219366268481,1.019138058396974,0.9418602370358069,1.0802038840342705,82.0,121.0,591.0,60.0,23.51343720290165,11.177318399840077,13.672238625269456,20.239722732198256,unstable_or_mild,0.13834364699846358,False
S072,12,0.46149046494076634,0.8857078257713349,0.9139651689470208,1.0818457820099694,88.0,122.0,618.0,62.0,47.70029541319603,17.98903903786802,19.965558392198336,20.15877899630924,unstable_or_mild,0.16788061306294855,False
S040,13,1.3859844581716951,1.1337125130537973,0.9720835515238121,0.9015326204041088,85.0,122.0,67.0,62.0,22.187284592888062,15.026658154113118,15.75623016279921,20.145709331834812,unstable_or_mild,0.07055093111970334,False
S116,14,1.0502952871595805,1.164772015253306,0.9725893515280576,0.9424579307788253,90.0,122.0,909.0,62.0,25.638793161539773,23.05887367483899,22.92784778920198,20.079173610268573,unstable_or_mild,0.03013142074923225,False
S046,14,1.433388842833925,1.1546538845254166,1.1157859050115695,0.8639813504330078,87.0,122.0,193.0,56.0,22.829765546503104,14.870282498735804,14.177776805289014,20.021732007375036,unstable_or_mild,0.25180455457856166,False
S074,12,0.9319202902653971,1.132939191572956,1.06428987306665,0.8931541648071822,87.0,122.0,177.0,62.0,19.310063231093686,13.13045235653848,14.36222646590966,19.91717708449855,unstable_or_mild,0.17113570825946767,False
S072,14,0.4984831311668375,0.8817157609111589,0.947842052300791,1.0871050549739618,89.0,122.0,623.0,62.0,39.47131138254048,15.952359682862472,16.431138593400124,19.84292034967591,unstable_or_mild,0.13926300267317082,False
S010,13,0.630551098286611,1.1148416832993675,0.9588953074332912,1.0392400406391566,88.0,122.0,888.0,62.0,17.058482356509284,10.674065409104923,12.795195613257276,19.689887834269097,unstable_or_mild,0.08034473320586544,False
S009,13,1.8908132736167842,1.2490017559544497,1.1803338197232212,0.8684078513001806,88.0,122.0,253.0,62.0,32.34597600518679,16.5781503452589,14.547646396082936,19.539220977336683,unstable_or_mild,0.31192596842304054,False
