site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S030,11,0.95,0.95,162,0.78,0.16999999999999993
S030,12,0.95,0.95,143,0.78,0.16999999999999993
S031,1,0.5207866569741366,0.5207866569741366,281,0.78,0.2592133430258634
S031,2,0.5540168950405661,0.5540168950405661,319,0.78,0.22598310495943397
S031,3,0.6261208530878247,0.6261208530878247,491,0.78,0.1538791469121753
S031,4,0.642659351962121,0.642659351962121,573,0.78,0.13734064803787904
S031,5,0.6715264956971144,0.6715264956971144,589,0.78,0.1084735043028856
S031,6,0.6663557257816485,0.6663557257816485,521,0.78,0.11364427421835155
S031,7,0.6887589969565793,0.6887589969565793,252,0.78,0.09124100304342075
S031,8,0.6997319585017222,0.6997319585017222,363,0.78,0.08026804149827782
S031,9,0.6724461714030361,0.6724461714030361,242,0.78,0.10755382859696394
S031,10,0.5686509968964124,0.5686509968964124,238,0.78,0.21134900310358762
S031,11,0.591487507549729,0.591487507549729,154,0.78,0.18851249245027102
S031,12,0.5120477061447951,0.5120477061447951,136,0.78,0.2679522938552049
S032,1,,0.78,0,0.78,0.0
S032,2,,0.78,0,0.78,0.0
S032,3,,0.78,0,0.78,0.0
S032,4,,0.78,0,0.78,0.0
S032,5,,0.78,0,0.78,0.0
S032,6,,0.78,0,0.78,0.0
S032,7,,0.78,0,0.78,0.0
S032,8,,0.78,0,0.78,0.0
S032,9,,0.78,0,0.78,0.0
S032,10,,0.78,0,0.78,0.0
S032,11,,0.78,0,0.78,0.0
S032,12,,0.78,0,0.78,0.0
S033,3,0.7915321647871568,0.7915321647871568,117,0.78,0.011532164787156796
S033,4,0.9107216976012785,0.9107216976012785,221,0.78,0.1307216976012785
S033,5,0.8794212979797371,0.8794212979797371,201,0.78,0.09942129797973709
S033,6,0.8681647557141206,0.8681647557141206,164,0.78,0.08816475571412052
S034,5,0.7774005013090839,0.7774005013090839,58,0.78,0.0025994986909161355
S034,6,0.8656481874411375,0.8656481874411375,157,0.78,0.08564818744113745
S035,1,0.6426443185582222,0.6426443185582222,192,0.78,0.1373556814417778
S035,2,0.5382983605545083,0.5382983605545083,213,0.78,0.24170163944549172
S035,3,0.7328067528919902,0.7328067528919902,318,0.78,0.04719324710800987
S035,4,0.8051147732001083,0.8051147732001083,385,0.78,0.025114773200108242
S035,5,0.8242242390000742,0.8242242390000742,405,0.78,0.04422423900007422
S035,6,0.8174511217726724,0.8174511217726724,349,0.78,0.0374511217726724
S035,7,0.95,0.95,122,0.78,0.16999999999999993
S035,8,0.95,0.95,170,0.78,0.16999999999999993
S035,9,0.8503788963131236,0.8503788963131236,144,0.78,0.07037889631312355
S035,10,0.7555611999656567,0.7555611999656567,242,0.78,0.02443880003434329
S035,11,0.7348039047050672,0.7348039047050672,162,0.78,0.04519609529493285
S035,12,0.7379222847938788,0.7379222847938788,143,0.78,0.04207771520612125
S036,6,0.7117331472475208,0.7117331472475208,140,0.78,0.06826685275247923
S037,4,0.1,0.78,17,0.78,0.0
S037,5,0.1,0.1,203,0.78,0.68
S037,6,0.1,0.1,159,0.78,0.68
S038,4,0.95,0.78,7,0.78,0.0
S038,5,0.895793622532011,0.895793622532011,201,0.78,0.11579362253201098
S038,6,0.8674178941817059,0.8674178941817059,158,0.78,0.08741789418170587
S039,4,0.1,0.78,2,0.78,0.0
S039,5,0.7099319269062987,0.7099319269062987,196,0.78,0.07006807309370133
S039,6,0.6670959027417052,0.6670959027417052,160,0.78,0.11290409725829487
S040,4,0.8412697092634969,0.8412697092634969,149,0.78,0.06126970926349684
S040,5,0.6731752336796869,0.6731752336796869,197,0.78,0.10682476632031312
S040,6,0.7470313370467019,0.7470313370467019,169,0.78,0.032968662953298145
S041,1,0.95,0.95,187,0.78,0.16999999999999993
S041,2,0.95,0.95,223,0.78,0.16999999999999993
S041,3,0.95,0.95,326,0.78,0.16999999999999993
S041,4,0.95,0.95,398,0.78,0.16999999999999993
S041,5,0.9447598761868548,0.9447598761868548,417,0.78,0.16475987618685473
S041,6,0.9243165152839011,0.9243165152839011,369,0.78,0.1443165152839011
S041,7,0.837939332389912,0.837939332389912,128,0.78,0.057939332389912
S041,8,0.95,0.95,163,0.78,0.16999999999999993
S041,9,0.95,0.95,144,0.78,0.16999999999999993
S041,10,0.95,0.95,108,0.78,0.16999999999999993
S041,11,0.95,0.95,70,0.78,0.16999999999999993
S041,12,0.95,0.95,82,0.78,0.16999999999999993
